#	G1:Mov10oe	G1:Mov10oe	G1:Mov10oe	G2:control	G2:control	G2:control
#Feature	mov10oe1	mov10oe2	mov10oe3	ctrl1	ctrl2	ctrl3
1/2-SBSRNA4	64	55	38	45	31	39
A1BG	100	81	41	77	58	40
A1BG-AS1	220	189	107	213	172	126
A1CF	1	0	0	0	0	0
A2LD1	138	125	52	91	80	50
A2M	2	5	2	9	8	4
A2ML1	6	5	2	2	1	0
A2MP1	2	1	3	0	2	1
A4GALT	107	118	65	49	52	37
A4GNT	0	0	1	0	0	0
AA06	0	0	0	0	0	0
AAA1	1	0	0	0	0	0
AAAS	1753	1727	835	1672	1389	1121
AACS	951	967	484	938	771	635
AACSP1	3	0	1	1	1	3
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	1	1	0	0	0	0
AADAT	593	576	359	567	521	416
AAGAB	2648	2356	1481	3265	2790	2118
AAK1	1869	1602	980	1675	1614	1108
AAMP	3179	3137	1721	4061	3304	2623
AANAT	12	12	4	6	2	7
AARS	4782	4580	2473	3953	3339	2666
AARS2	2281	2121	1249	2480	2074	1657
AARSD1	1057	1017	556	887	783	563
AASDH	980	929	568	827	717	553
AASDHPPT	3867	3423	2226	4620	3742	2892
AASS	1367	1103	833	1023	851	623
AATF	2780	2478	1480	3210	2667	2010
AATK	366	364	203	267	266	217
AATK-AS1	7	0	3	4	2	3
ABAT	631	545	297	400	346	300
ABCA1	213	173	106	78	91	67
ABCA10	20	14	8	18	34	23
ABCA11P	241	205	139	237	184	138
ABCA12	2	4	6	5	10	6
ABCA13	1	2	2	3	3	4
ABCA17P	13	17	5	20	12	6
ABCA2	1143	1216	611	851	759	673
ABCA3	935	1045	500	773	755	590
ABCA4	10	8	6	5	12	8
ABCA5	1139	1060	704	1256	1150	835
ABCA6	2	2	1	14	10	8
ABCA7	441	472	260	425	342	291
ABCA8	52	56	26	50	46	49
ABCA9	7	4	1	16	26	16
ABCB1	895	789	513	960	784	595
ABCB10	1779	1715	1111	1980	1637	1260
ABCB11	1	1	2	1	2	1
ABCB4	222	198	135	128	102	95
ABCB5	7	4	2	3	8	5
ABCB6	318	321	157	267	226	188
ABCB7	1813	1669	1027	1456	1259	979
ABCB8	1240	1171	513	1180	961	801
ABCB9	239	212	96	234	217	183
ABCC1	2176	2048	1145	1962	1724	1383
ABCC10	695	652	333	648	549	438
ABCC11	13	12	13	19	14	8
ABCC12	1	0	0	1	1	0
ABCC13	0	1	0	0	0	0
ABCC2	86	75	46	123	90	76
ABCC3	3	1	2	2	3	2
ABCC4	777	704	438	758	681	540
ABCC5	2299	1965	1158	2273	1898	1400
ABCC6	116	115	74	71	68	68
ABCC6P1	37	40	21	18	19	16
ABCC6P2	13	9	8	5	4	5
ABCC8	77	66	53	73	40	55
ABCC9	6	9	1	1	5	3
ABCD1	242	295	109	255	250	172
ABCD2	72	63	34	51	40	44
ABCD3	3200	2943	2144	3574	3091	2281
ABCD4	1363	1298	696	1365	1134	984
ABCE1	4374	3953	2717	4766	4197	2994
ABCF1	6156	5796	3100	7123	5774	4575
ABCF2	3273	2960	1691	4298	3578	2665
ABCF3	1061	1010	562	1098	864	725
ABCG1	188	158	101	126	117	89
ABCG2	207	189	136	273	268	188
ABCG4	177	199	108	133	150	107
ABCG5	2	2	0	2	5	2
ABCG8	3	5	1	1	2	1
ABHD1	80	67	32	41	30	36
ABHD10	2418	2199	1527	2433	2110	1510
ABHD11	579	625	324	617	486	409
ABHD11-AS1	2	0	0	2	0	6
ABHD12	1058	1017	555	1040	850	670
ABHD12B	0	0	0	0	0	0
ABHD13	866	763	485	640	556	373
ABHD14A	126	136	49	124	86	84
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	765	843	371	412	347	297
ABHD15	573	573	316	526	413	335
ABHD16A	544	497	282	509	409	317
ABHD16B	2	1	0	2	2	1
ABHD2	2574	2250	1419	2238	1900	1433
ABHD3	737	701	481	798	704	517
